promote | A. 提升，促进 | B. 保护，保持 | C. 承诺，允诺 | D. 提供，供应 | A
approach | A. 批准，认可 | B. 方法，途径 | C. 谴责，指责 | D. 达到，获得 | B
intelligent | A. 勤奋的，刻苦的 | B. 优雅的，高贵的 | C. 智能的，聪明的 | D. 独立的，自主的 | C
complaint | A. 投诉，抱怨 | B. 解释，说明 | C. 赞美，称赞 | D. 依从，顺从 | A
edition | A. 编辑，剪辑 | B. 增加，加法 | C. 情绪，情感 | D. 版本，版次 | D
criticism | A. 危机，关头 | B. 批评，批判 | C. 创造力，创造 | D. 评级，级别 | B
activity | A. 积极，活跃 | B. 生产力，产量 | C. 活动 | D. 魅力 | C
locate | A. 锁定，关闭 | B. 定位，找到 | C. 分配，拨给 | D. 局部，本地 | B
suck | A. 吹，刮风 | B. 震惊，使吃惊 | C. 吸，吮吸 | D. 沉没，下沉 | C
secondary | A. 重要的，主要的 | B. 秘密的，机密的 | C. 次要的，第二的 | D. 安全的，稳固的 | C
survivor | A. 幸存者 | B. 监督者，主管 | C. 测量员，勘测员 | D. 攻击者，侵略者 | A
exposure | A. 爆炸，爆发 | B. 拓展，扩大 | C. 表现，绩效 | D. 暴露，揭露 | D
