promote | A. 提升，促进 | B. 保护，保持 | C. 承诺，允诺 | D. 提供，供应 | A
approach | A. 批准，认可 | B. 方法，途径 | C. 谴责，指责 | D. 达到，获得 | B
intelligent | A. 勤奋的，刻苦的 | B. 优雅的，高贵的 | C. 智能的，聪明的 | D. 独立的，自主的 | C
complaint | A. 投诉，抱怨 | B. 解释，说明 | C. 赞美，称赞 | D. 依从，顺从 | A
edition | A. 编辑，剪辑 | B. 增加，加法 | C. 情绪，情感 | D. 版本，版次 | D
criticism | A. 危机，关头 | B. 批评，批判 | C. 创造力，创造 | D. 评级，级别 | B
activity | A. 积极，活跃 | B. 生产力，产量 | C. 活动 | D. 吸引力，魅力 | C
locate | A. 锁定，关闭 | B. 定位，找到 | C. 分配，拨给 | D. 局部，本地 | B
suck | A. 吹，刮风 | B. 震惊，使吃惊 | C. 吸，吮吸 | D. 沉没，下沉 | C
secondary | A. 重要的，主要的 | B. 秘密的，机密的 | C. 次要的，第二的 | D. 安全的，稳固的 | C
survivor | A. 幸存者 | B. 监督者，主管 | C. 测量员，勘测员 | D. 攻击者，侵略者 | A
exposure | A. 爆炸，爆发 | B. 拓展，扩大 | C. 表现，绩效 | D. 暴露，揭露 | D
reliable | A. 依赖的，依靠的 | B. 可靠的 | C. 缓解的，减轻的 | D. 相关的，有关的 | B
promise | A. 允许，许可 | B. 推广，促销 | C. 承诺，允诺 | D. 妥协，让步 | C
detail | A. 细节，详细说明 | B. 零售，转售 | C. 推迟，延期 | D. 零售商 | A
connect | A. 收集，收藏 | B. 连接，联系 | C. 正确，纠正 | D. 犯（罪），委托 | B
crime | A. 危机，危急 | B. 攀爬，爬山 | C. 犯罪，罪行 | D. 气候，风气 | C
voluntary | A. 暴力的，猛烈的 | B. 宝贵的，有价值的 | C. 各种各样的 | D. 自愿的，志愿的 | D
satisfy | A. 满足，使满意 | B. 牺牲，献出 | C. 证明……正当 | D. 确认，证实 | A
profit | A. 利润，利益 | B. 财产，资产 | C. 先知，预言家 | D. 进步，进展 | A
fare | A. 恐惧，害怕 | B. 车费，票价 | C. 公平的，公正 | D. 票价表 | B
emphasize | A. 怜悯，同情 | B. 强调，着重 | C. 帝国，大企业 | D. 实施，强制 | B
appointment | A. 任命，约会 | B. 公寓，住房 | C. 失望，沮丧 | D. 失望的 | A
measure | A. 快乐，娱乐 | B. 宝藏，财富 | C. 措施，测量 | D. 压力，压迫 | C
immune | A. 巨大的，庞大的 | B. 内部的，国内的 | C. 暗示的，盲从的 | D. 免疫的，不受影响的 | D
judgement | A. 正义，公正 | B. 调整，调节 | C. 判断，裁决 | D. 惩罚，刑罚 | C
capture | A. 捕获，捕捉 | B. 胶囊，太空舱 | C. 狂喜，迷醉 | D. 破裂，决裂 | A
junior | A. 资深的，高级的 | B. 年轻的，初级的 | C. 司法 del 审判 | D. 愉快的，欢快的 | B
sample | A. 简单的，单纯 | B. 样品，样本 | C. 类似的，相似 | D. 充足的，丰富的 | B
